"Rank","Player","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs.","ADP"
"173","David Njoku","CLE","TE22","9","118","244","172.9","29.1","182.0","+9.0"
"174","DeAndre Washington","OAK","RB58","10","114","273","182.5","42.0","203.0","+29.0"
"175","Ryan Tannehill","MIA","QB22","11","122","259","170.8","24.1","174.0","-1.0"
"176","Taylor Gabriel","ATL","WR65","5","124","237","179.3","26.8","155.0","-21.0"
"177","Dion Lewis","NE","RB59","9","100","279","184.7","39.3","185.0","+8.0"
"178","Marlon Mack","IND","RB60","11","112","272","175.2","40.5","169.0","-9.0"
"179","Will Fuller","HOU","WR66","7","124","269","173.1","33.4","175.0","-4.0"
"180","Joe Flacco","BAL","QB23","10","136","216","173.8","16.4","195.0","+15.0"
"181","Allen Hurns","JAC","WR67","8","90","256","181.2","32.9","191.0","+10.0"
"182","Jalen Richard","OAK","RB61","10","105","270","181.6","32.4","181.0","-1.0"
"183","J.J. Nelson","ARI","WR68","8","109","260","186.2","34.4","206.0","+23.0"
"184","Tavon Austin","LAR","WR69","8","112","275","190.4","42.2","187.0","+3.0"
"185","Evan Engram","NYG","TE23","8","117","263","181.3","29.6","149.0","-36.0"
"186","T.J. Yeldon","JAC","RB62","8","139","274","185.0","31.4","207.0","+21.0"
"187","Dan Bailey","DAL","K3","6","148","206","177.4","13.4","172.0","-15.0"
"188","Mohamed Sanu","ATL","WR70","5","128","258","186.7","33.8","190.0","+2.0"
"189","Charles Clay","BUF","TE24","6","123","262","183.8","33.5","233.0","+44.0"
"190","Carolina","Panthers","DST8","11","146","229","180.8","18.4","202.0","+12.0"
"191","Rex Burkhead","NE","RB63","9","121","265","191.5","36.5","189.0","-2.0"
"192","Jared Cook","OAK","TE25","10","123","264","182.6","26.5","222.0","+30.0"
"193","Matt Bryant","ATL","K4","5","144","237","181.2","20.9","168.0","-25.0"
"194","New York","Giants","DST9","8","144","255","178.9","22.1","192.0","-2.0"
"195","Mike Williams","LAC","WR71","9","115","253","188.6","38.1","173.0","-22.0"
"196","Sam Bradford","MIN","QB24","9","132","256","186.2","25.2","194.0","-2.0"
"197","Mason Crosby","GB","K5","8","153","228","183.7","15.8","221.0","+24.0"
"198","Alex Smith","KC","QB25","10","136","255","184.7","18.9","220.0","+22.0"
"199","Zach Miller","CHI","TE26","9","122","274","190.9","39.6","273.0","+74.0"
"200","Jonathan Williams","BUF","RB64","6","114","277","197.9","39.5","167.0","-33.0"
"201","Jerick McKinnon","MIN","RB65","9","99","271","196.8","37.7","290.0","+89.0"
"202","D'Onta Foreman","HOU","RB66","7","134","283","199.7","36.3","201.0","-1.0"
"203","Tyler Boyd","CIN","WR72","6","70","271","196.1","40.8","268.0","+65.0"
"204","Cooper Kupp","LAR","WR73","8","139","277","197.8","39.0","247.0","+43.0"
"205","Adam Vinatieri","IND","K6","11","147","237","191.0","21.7","193.0","-12.0"
"206","Jacksonville","Jaguars","DST10","8","138","238","190.9","23.7","212.0","+6.0"
"207","Darren McFadden","DAL","RB67","6","106","282","206.5","44.9","170.0","-37.0"
"208","Jesse James","PIT","TE27","9","145","250","196.0","27.7","211.0","+3.0"
"209","Malcolm Mitchell","NE","WR74","9","107","266","196.5","31.4","198.0","-11.0"
"210","Robby Anderson","NYJ","WR75","11","145","258","197.0","29.1","260.0","+50.0"
"211","Devin Funchess","CAR","WR76","11","128","266","210.9","36.5","249.0","+38.0"
"212","Los Angeles","Rams","DST11","8","160","242","190.2","15.3","216.0","+4.0"
"213","Torrey Smith","PHI","WR77","10","47","265","211.2","40.9","277.0","+64.0"
"214","Chris Conley","KC","WR78","10","151","264","201.0","32.2","223.0","+9.0"
"215","Dwayne Allen","NE","TE28","9","125","268","216.3","40.1","208.0","-7.0"
"216","Laquon Treadwell","MIN","WR79","9","132","273","215.2","40.5","197.0","-19.0"
"217","Tim Hightower","SF","RB68","11","125","283","221.9","47.6","213.0","-4.0"
"218","Curtis Samuel","CAR","WR80","11","117","274","215.4","37.6","228.0","+10.0"
"219","Dustin Hopkins","WAS","K7","5","153","267","212.1","34.1","243.0","+24.0"
"220","Braxton Miller","HOU","WR81","7","119","261","187.8","46.0","267.0","+47.0"
"221","Benjamin Watson","BAL","TE29","10","135","274","214.8","41.2","288.0","+67.0"
"222","Matt Prater","DET","K8","7","152","243","208.6","25.4","219.0","-3.0"
"223","Cincinnati","Bengals","DST12","6","147","259","206.1","27.1","231.0","+8.0"
"224","Brian Hoyer","SF","QB26","11","143","249","200.5","20.9","227.0","+3.0"
"225","Steven Hauschka","BUF","K9","6","167","236","202.0","21.9","271.0","+46.0"
"226","Eli Rogers","PIT","WR82","9","111","282","216.5","35.9","339.0","+113.0"
"227","Devontae Booker","DEN","RB69","5","114","272","216.5","32.3","209.0","-18.0"
"228","Cairo Santos","KC","K10","10","157","242","206.2","22.1","235.0","+7.0"
"229","Robert Turbin","IND","RB70","11","146","276","208.5","34.7","258.0","+29.0"
"230","James Conner","PIT","RB71","9","154","281","219.4","38.3","200.0","-30.0"
"231","Philadelphia","Eagles","DST13","10","145","253","207.5","25.1","204.0","-27.0"
"232","Kendall Wright","CHI","WR83","9","113","266","220.2","34.6","",""
"233","Chris Hogan","NE","WR84","9","161","277","222.2","31.1","218.0","-15.0"
"234","Brandon LaFell","CIN","WR85","6","101","277","220.5","36.8","199.0","-35.0"
"235","Kenny Golladay","DET","WR86","7","157","281","224.7","37.0","246.0","+11.0"
"236","Baltimore","Ravens","DST14","10","155","257","201.7","17.7","215.0","-21.0"
"237","Deshaun Watson","HOU","QB27","7","149","256","212.8","26.0","161.0","-76.0"
"238","Mike Glennon","CHI","QB28","9","151","260","220.0","26.4","263.0","+25.0"
"239","Los Angeles","Chargers","DST15","9","155","266","218.4","31.5","241.0","+2.0"
"240","Paul Richardson","SEA","WR87","6","139","280","227.5","34.6","248.0","+8.0"
"241","Ryan Mathews","PHI","RB72","10","110","273","230.3","40.5","205.0","-36.0"
"242","Jeremy Kerley","SF","WR88","11","159","277","219.0","33.7","328.0","+86.0"
"243","Tyler Higbee","LAR","TE30","8","150","273","224.6","33.9","229.0","-14.0"
"244","Austin Seferian-Jenkins","NYJ","TE31","11","143","272","225.4","36.8","255.0","+11.0"
"245","Terrance Williams","DAL","WR89","6","154","279","229.8","36.3","297.0","+52.0"
"246","Caleb Sturgis","PHI","K11","10","158","260","209.2","32.7","245.0","-1.0"
"247","Vance McDonald","SF","TE32","11","146","269","232.3","33.7","293.0","+46.0"
"248","Tajae Sharpe","TEN","WR90","8","97","275","222.9","41.6","279.0","+31.0"
"249","JuJu Smith-Schuster","PIT","WR91","9","163","279","231.8","37.2","257.0","+8.0"
"250","Tampa Bay","Buccaneers","DST16","11","158","266","220.3","31.6","285.0","+35.0"
"251","Atlanta","Falcons","DST17","5","163","260","226.5","32.5","183.0","-68.0"
"252","Wayne Gallman","NYG","RB73","8","158","283","232.4","37.9","278.0","+26.0"
"253","Trevor Siemian","DEN","QB29","5","152","261","220.4","27.3","276.0","+23.0"
"254","Wendell Smallwood","PHI","RB74","10","157","284","231.9","36.0","232.0","-22.0"
"255","Kyle Juszczyk","SF","RB75","11","157","278","222.6","39.3","",""
"256","Will Lutz","NO","K12","5","156","267","222.3","26.8","244.0","-12.0"
"257","Chris Boswell","PIT","K13","9","158","257","228.2","24.9","234.0","-23.0"
"258","Jared Goff","LAR","QB30","8","147","256","219.7","24.8","250.0","-8.0"
"259","Jermaine Gresham","ARI","TE33","8","156","272","228.5","34.0","316.0","+57.0"
"260","Ladarius Green","FA","TE34","","106","268","210.9","43.6","292.0","+32.0"
"261","Chris Ivory","JAC","RB76","8","156","278","233.9","32.6","236.0","-25.0"
"262","Buffalo","Bills","DST18","6","161","266","225.8","29.9","261.0","-1.0"
"263","Pittsburgh","Steelers","DST19","9","167","258","207.2","17.9","188.0","-75.0"
"264","A.J. Derby","DEN","TE35","5","146","270","229.0","30.9","",""
"265","Jeremy McNichols","TB","RB77","11","140","277","226.8","33.6","242.0","-23.0"
"266","Albert Wilson","KC","WR92","10","155","276","226.6","41.0","",""
"267","Oakland","Raiders","DST20","10","176","257","216.9","21.5","178.0","-89.0"
"268","Elijah Hood","OAK","RB78","10","120","284","230.3","65.1","",""
"269","ArDarius Stewart","NYJ","WR93","11","177","275","232.8","33.3","",""
"270","Kamar Aiken","IND","WR94","11","153","282","234.4","34.1","287.0","+17.0"
"271","Sebastian Janikowski","OAK","K14","10","174","258","219.5","16.5","224.0","-47.0"
"272","Travis Benjamin","LAC","WR95","9","147","277","230.3","29.0","298.0","+26.0"
"273","Graham Gano","CAR","K15","11","175","264","226.0","19.7","264.0","-9.0"
"274","Chandler Catanzaro","NYJ","K16","11","184","267","212.9","25.4","335.0","+61.0"
"275","Andre Ellington","ARI","RB79","8","152","284","245.0","37.2","",""
"276","Michael Floyd","MIN","WR96","9","146","276","228.9","28.3","326.0","+50.0"
"277","Gary Barnidge","FA","TE36","","144","267","225.3","42.1","",""
"278","Miami","Dolphins","DST21","11","165","266","234.6","25.7","295.0","+17.0"
"279","Dontrelle Inman","LAC","WR97","9","167","282","239.6","36.0","315.0","+36.0"
"280","Paxton Lynch","DEN","QB31","5","148","256","225.3","39.8","284.0","+4.0"
"281","Zach Zenner","DET","RB80","7","167","282","239.8","28.8","225.0","-56.0"
"282","DeShone Kizer","CLE","QB32","9","151","261","237.5","31.0","307.0","+25.0"
"283","Tennessee","Titans","DST22","8","168","264","224.2","31.4","239.0","-44.0"
"284","Dion Sims","CHI","TE37","9","170","252","214.3","30.8","314.0","+30.0"
"285","Brandon McManus","DEN","K17","5","179","265","222.0","16.6","262.0","-23.0"
"286","Nick Novak","HOU","K18","7","176","267","227.9","31.6","274.0","-12.0"
"287","Josh Reynolds","LAR","WR98","8","169","281","217.6","39.4","",""
"288","Vernon Davis","WAS","TE38","5","184","274","238.3","28.4","283.0","-5.0"
"289","Chad Williams","ARI","WR99","8","171","277","237.0","36.1","",""
"290","New York","Jets","DST23","11","187","260","215.1","26.0","",""
"291","Nelson Agholor","PHI","WR100","10","172","279","240.1","35.3","308.0","+17.0"
"292","Marquise Goodwin","SF","WR101","11","177","280","235.6","35.9","303.0","+11.0"
"293","Taywan Taylor","TEN","WR102","8","168","281","248.0","32.8","",""
"294","Jeremy Langford","CHI","RB81","9","179","282","247.8","31.3","272.0","-22.0"
"295","Lance Kendricks","GB","TE39","8","169","269","219.8","38.0","",""
"296","Green Bay","Packers","DST24","8","180","264","219.6","17.5","301.0","+5.0"
"297","Erik Swoope","IND","TE40","11","182","274","239.2","27.7","286.0","-11.0"
