"Rank","Player","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"327","Jimmy Garoppolo","NE","QB36","9","211","260","241.4","18.4","295.0","-32.0"
"328","Benny Cunningham","CHI","RB89","9","212","282","255.8","23.2","",""
"329","Adam Humphries","TB","WR112","11","212","262","237.0","25.0","332.0","+3.0"
"330","Brandon Coleman","NO","WR113","5","216","279","246.3","23.9","",""
"331","Seth DeValve","CLE","TE47","9","216","274","249.0","24.1","",""
"332","Washington","Redskins","DST26","5","216","251","233.5","17.5","326.0","-6.0"
"333","Josh Gordon","CLE","WR114","9","218","254","236.0","18.0","233.0","-100.0"
"334","Sammie Coates","PIT","WR115","9","219","275","254.5","23.2","",""
"335","Jaelen Strong","HOU","WR116","7","224","280","259.4","19.5","",""
"336","Josh Lambo","LAC","K22","9","226","267","245.6","14.1","296.0","-40.0"
"337","Mychal Rivera","JAC","TE48","8","227","269","248.0","21.0","",""
"338","Mike Nugent","FA","K23","","227","265","243.5","13.8","",""
"339","Markus Wheaton","CHI","WR117","9","228","278","257.7","18.7","",""
"340","Bruce Ellington","SF","WR118","11","229","274","251.4","18.6","",""
"341","New Orleans","Saints","DST27","5","229","240","234.5","5.5","",""
"342","Mitch Trubisky","CHI","QB37","9","230","261","245.5","15.5","317.0","-25.0"
"343","Brian Quick","WAS","WR119","5","232","281","260.7","16.3","",""
"344","Kenneth Farrow","LAC","RB90","9","233","285","259.0","26.0","",""
"345","Rashard Higgins","CLE","WR120","9","233","271","249.8","14.0","",""
"346","Dwayne Washington","DET","RB91","7","234","283","264.5","17.6","",""
"347","Kerwynn Williams","ARI","RB92","8","235","270","252.5","17.5","",""
"348","Travaris Cadet","NO","RB93","5","236","278","257.0","21.0","",""
"349","Matt Jones","WAS","RB94","5","239","282","268.8","14.2","306.0","-43.0"
"350","Alfred Morris","DAL","RB95","6","240","279","266.0","15.3","298.0","-52.0"
"351","Dede Westbrook","JAC","WR121","8","245","277","257.0","14.2","",""
"352","George Kittle","SF","TE49","11","246","274","260.0","14.0","294.0","-58.0"
"353","Adam Shaheen","CHI","TE50","9","246","268","257.0","11.0","280.0","-73.0"
"354","Phil Dawson","ARI","K24","8","247","267","257.0","10.0","258.0","-96.0"
"355","Tom Savage","HOU","QB38","7","249","260","254.4","3.6","",""
"356","Rashad Jennings","FA","RB96","","252","281","269.0","12.4","",""
"357","Cordarrelle Patterson","OAK","WR122","10","255","276","265.5","10.5","",""
"358","Geronimo Allison","GB","WR123","8","267","282","274.5","7.5","242.0","-116.0"
"359","Javorius Allen","BAL","RB97","10","268","278","274.3","4.1","",""
