"Joe Mixon","Most have somehow forgotten how highly-touted Mixon was coming out of Oklahoma. He's a true three-down workhorse running back that can handle 20-plus touches per game if they want him to - and that's exactly how they treated him once Jeremy Hill went down last year - as he averaged 17.6 touches per game from Week 8-12 before he hurt his ankle in Week 13. Those 17.6 touches per game would've ranked as the 13th most among running backs last year. If the Bengals can become a competent offense once again after rebuilding the offensive line - Mixon has top-five upside."
"Golden Tate","I get it - Tate isn't a sexy pick that'll win you your fantasy league - but he's now finished as a top-34 receiver in each of the last six seasons - including a WR19 finish last year while Marvin Jones had a miraculous season. With the exit of Eric Ebron - some targets may open up over the middle of the field - while Jones now has to fight for perimeter targets with Kenny Golladay. Tate's role in the offense is safe - as he's now seen at least 120 targets in each of the last four seasons."
"Zach Ertz","If Ertz can stay on the field for all 16 games - he's could be right there in the tier with Gronk and Kelce - but he's dealt with some nagging injuries the last two seasons that have caused him to miss four games. Still - his consistency is something - as he's not finished with 74-78 catches and 816-853 yards in each of the last three seasons - though he doubled his touchdown output in 2017. It wasn't a bad thing to see Trey Burton leave - but the Eagles immediately replaced him with Dallas Goedert - who is a massive red zone threat. Because of that - I'll keep Ertz in the tier below the alpha dogs - but he's not far behind."
"Jordan Howard","In standard formats - feel free to draft Howard in the second-round - as he's going to be the workhorse on first- and second-down for new head coach Matt Nagy - who comes from Andy Reid's tutelage. Howard has been one of the most reliable runners in football the last two years - averaging 4.61 yards per carry while the defense knew exactly what they were doing - with no other real threat on the field for a majority of those games. His lack of passing-down work limits his upside - but he's extremely safe in standard because there isn't another running back on the roster who can net 200-plus carries."
"Amari Cooper","After posting back-to-back 1000-yard seasons to open his career - Cooper hit some speed bumps in 2017 - as he finished with just 680 yards in 14 games. It was even worse than that - though - as he accumulated 30.9 percent of his yardage in just one game. We do know that his ankle caused him to miss nearly two full games - but it's rare to see a wide receiver struggle the way he did when coming off two impressive seasons. It may not have helped that Derek Carr was dealing with a back injury as well - so we'll chalk that season up to an outlier in what's been a great start to a career. The Raiders cut Michael Crabtree - which helps - but then brought in both Jordy Nelson and Martavis Bryant to replenish the weaponry. Still - Cooper is the only one who has rapport with his quarterback - so I'd expect him to bounce back to WR2 status in 2018."
"Aaron Rodgers","The best in the game - period. By ranking him in the 30-40 range overall - I know that he's unlikely to fall to me in drafts - but that's because of how replaceable the position really is. The dip from Rodgers to someone like Matthew Stafford is typically four points per game - which is a much larger gap from someone like Melvin Gordon down to someone like Giovani Bernard. If Rodgers falls to the end of the third-round - that's when I'd start to consider him."
"Allen Robinson","It typically takes some time for a wide receiver to learn a new offense - which puts him behind where the rest of the wide receiver group is - but Robinson doesn't have to worry about that - as they are all learning a new offense. In fact - the starting trio of wide receivers and tight end will all be new faces for Mitch Trubisky. You don't bring in someone like Robinson in free agency if you aren't going to feature him. I'm expecting a minimum of 120 targets - which essentially locks him in as a top-25 wide receiver - as there were no wide receivers with more than 109 targets who finished outside the top-25 in standard formats."
"Alshon Jeffery","Did you realize that Jeffery had just a 47.5 percent catch rate in 2017? That ranked 168th of the 211 wide receivers who saw at least one target in 2018. To know that he finished as the WR15 despite that is pretty amazing. The chemistry between him and Carson Wentz should grow as time goes on - though his touchdown rate will likely go down with Wentz's. Still - Jeffery is the clear-cut No. 1 receiver in an offense with a creative play-caller and franchise quarterback. His injury-riddled past is factored in - as he'd be higher on my list if he hadn't missed 11 games in the past three years with a lot of soft tissue injuries."
"Kenyan Drake","The stretch that Drake had at the end of 2017 was nothing short of impressive. He was playing on a bad team - but finished as the RB8 during Weeks 13-17. We mustn't forget that Damien Williams was also hurt during most of that time - so it allowed him to receive more touches than usual. Williams is gone - but the Dolphins brought in Frank Gore - who didn't come to collect dust - and drafted Kalen Ballage - a receiving specialist. There's reasons to like Drake - but there are equally as many reasons not to."
"Jarvis Landry","Going from 140-plus targets to one where he will have a tough time seeing 110 targets is a very big deal for someone like Landry. While I believe he's a better football player than what the Dolphins used him as - he's going to play a similar role on the Browns - as Josh Gordon and Corey Coleman are more of the field-stretchers. Knowing that Landry has averaged 7.08 yards per target over his career - his 110 targets would amount to just under 800 yards - and we know he isn't scoring more than six touchdowns. He's just a WR4 in standard leagues."
"LeSean McCoy","I'm not completely sold on drafting McCoy as a top-12 running back - but it's hard to pass on the volume he'll receive this year. Playing on a team with what's likely to have a rookie under center - behind a now-poor offensive line (lost three starters this offseason) - in what's almost guaranteed to be a low-scoring offense? Did I mention that he's going to be 30 years old when the season starts? You can't pass up this type of volume in the second-round - but I wouldn't blame you if you took a wide receiver over him where he's being drafted. As an update - you might be wise pushing McCoy out into the eighth-round - as there could be a looming suspension for some off-the-field acquisitions. You simply cannot risk taking him in the first few rounds with those question marks."
"Alex Collins","A lot of people talk about how good Kenyan Drake was to close out the season - but did you know that Collins was the RB8 in standard formats from Week 8 through Week 17? He was better for a longer stretch - and the offense improved significantly around him this offseason. The only concern you'd have is Kenneth Dixon - who was supposed to be the team's workhorse - but it's possible that they're going to simply move on from him. That built-in risk lowers him on my board just a tad - but I don't think the Ravens would've re-signed him if that were the case."
"Russell Wilson","Once you get down to around the No. 45 overall pick - the sure things are gone - so why not take one of the elite players at his position? Wilson has now finished as a top-three quarterback in three of the last four seasons and has never fallen out of the top-12 quarterbacks in any of his six seasons. His defense is as bad as its ever been - which should force him to partake in some shootouts that never seemed to happen before. Despite the elite defense that was being played - Wilson has posted QB1 numbers in 47.9 percent of his games - including a career-high 68.8 percent of games in 2017. He offers safety and upside - which is rare at the position."
"JuJu Smith-Schuster","Fun fact: Smith-Schuster ranked 55th among wide receivers in targets per game. His 5.6 targets per game ranked behind guys like Kendall Wright and Danny Amendola. His 11.6 yards per target was the best among wide receivers with at least 25 targets - and in fact - it was the best in the last five years. He's going to regress there and the offense didn't change drastically from last year to this year - so seeing his targets make a huge jump is unlikely. We've seen the upside he presents - but that was his absolute ceiling given the opportunities he's capped at. You can't draft a wide receiver who ranked 55th in targets per game in the top-five rounds of your fantasy draft - you just can't."
"Josh Gordon","It didn't seem like Gordon missed a beat upon his return last year - though the quarterback play was less than ideal. 39 percent of his targets were over 20 yards - though just 5-of-16 were catchable. It goes to show that the Browns want to use him down the field - though there's bound to be some changes with Todd Haley taking over as coordinator. The reason I'm down on Gordon - though - is that they brought in Tyrod Taylor - Carlos Hyde - Nick Chubb - and Jarvis Landry this offseason. That screams - we want to run a ball-control style offense." There's only so many targets to go around - so by drafting Gordon as a top-24 receiver - you're essentially saying that Landry is likely to cap out around 100 targets."
"Derrius Guice","As you can see by the rest of my rankings - I'm not shy when it comes to betting on a rookie running back. After watching him fall in the draft for character concerns," the Redskins pounced on a running back they had a first-round grade on. While Guice isn't going to steal the third-down work from Chris Thompson - he's going to be the man they turn to on early downs. That role was occupied by a combination of Samaje Perine and Rob Kelley last year - who combined for 237 carries. If you're worried about Perine or Kelley - don't be. You don't spend a second-round pick on a running back if you have someone that you kind of like."
"Tom Brady","It's really only a matter of time before Brady starts the inevitable downturn to his Hall of Fame career - and we may have already started to witness the beginning of the end. After throwing 26 touchdowns and just three interceptions in the first 11 games - Brady threw just six touchdowns with five interceptions over the final five games - and failed to top 15 fantasy points in any of them. He still gets the benefit of the doubt - but I wouldn't go out of my way to draft him."
"Brandin Cooks","While many continue to prop Cooks up as a low-end WR1 - I urge you to stay away from that territory when it comes to him. The Sean McVay offense doesn't cater to one wide receiver - and it's unlikely they take targets away from Robert Woods and Cooper Kupp - who were both extremely efficient last season. We saw Sammy Watkins finish with 70 targets in this exact role last year - and that was despite them giving up a second-round pick to acquire him. While I'd expect Cooks to see more than that with a full offseason to work with the offense - it'd be a stretch to see him finish with anything more than 100 targets. There were just three wide receivers who finished top-24 last year with less than 100 targets - so while it's doable - it's not a given."
"Michael Crabtree","After seeing 291 targets over a two year period with the Raiders - Crabtree saw that number drop to just 101 targets in 2017. Fortunately for him - he was released and wound up as the No. 1 receiver on another team that should get him somewhere in the range of 110-120 targets. Some will say more than that - but Joe Flacco doesn't heavily target any one receiver. During his 10 years in the league - he's yet to target one more than 137 times - and that includes two seasons with 610-plus attempts. He's a safe WR3 who may give you WR2 production."
