"Player","Team","RECs","Rec-YDs","Rec-TDs","Rush-ATTs","Rush-YDs","Rush-TDs","FumLost","FPTS"
"Justin Hardy","ATL","17.8","215.7","1.5","0.1","0.8","0.0","0.2","48.1"
"Braxton Miller","HOU","19.1","203.0","1.2","1.1","7.6","0.1","0.2","47.3"
"Kevin White","CHI","19.7","225.9","0.8","0.1","-0.3","0.0","0.4","46.6"
"D.J. Chark","JAC","17.4","225.4","1.2","0.0","0.0","0.0","0.5","46.5"
"Aldrick Robinson","SF","18.1","213.7","0.9","0.0","0.0","0.0","0.2","44.4"
"Roger Lewis","NYG","15.1","202.9","1.1","0.0","0.0","0.0","0.3","41.1"
"DaeSean Hamilton","DEN","14.4","201.2","1.1","0.0","0.0","0.0","0.4","40.6"
"J'Mon Moore","GB","14.0","195.7","1.2","0.0","0.0","0.0","0.3","40.2"
"Eli Rogers","PIT","17.5","202.5","1.0","0.0","0.0","0.0","1.9","40.0"
"Daurice Fountain","IND","13.9","186.4","1.3","0.0","0.0","0.0","0.1","39.8"
"Rashard Higgins","CLE","12.0","181.7","1.2","0.0","0.0","0.0","0.3","36.8"
"Breshad Perriman","BAL","13.9","174.7","0.9","0.1","0.6","0.0","0.2","36.2"
"Bennie Fowler","CHI","13.0","170.1","1.1","0.0","0.0","0.0","0.3","36.0"
"DeAngelo Yancey","GB","12.0","192.3","0.7","0.0","0.0","0.0","0.3","35.0"
"Deonte Thompson","DAL","13.1","171.7","0.8","0.5","2.8","0.0","0.2","34.7"
"Jakeem Grant","MIA","12.1","182.7","1.1","1.1","3.7","0.0","1.4","34.7"
"Josh Reynolds","LAR","12.9","158.9","1.1","0.0","0.0","0.0","0.3","34.5"
"Andre Holmes","BUF","13.4","155.2","0.9","0.0","0.0","0.0","0.2","34.0"
"Russell Shepard","NYG","13.2","161.1","0.7","0.5","0.5","0.0","0.2","33.4"
"Demarcus Robinson","KC","13.4","151.2","0.8","0.0","0.2","0.0","0.1","33.3"
"Chris Moore","BAL","11.7","149.9","0.9","1.4","7.8","0.0","0.2","32.9"
"Tajae Sharpe","TEN","9.6","177.5","0.9","0.0","0.1","0.0","0.2","32.3"
"Brian Quick","WAS","12.8","159.5","0.6","0.0","0.0","0.0","0.3","31.5"
"Ryan Switzer","OAK","11.9","137.5","0.6","0.3","1.4","0.0","0.3","29.0"
"J.D. McKissic","SEA","7.0","163.8","0.8","0.0","0.0","0.0","0.4","27.3"
"ArDarius Stewart","NYJ","10.2","129.9","0.6","1.0","4.3","0.0","0.1","26.8"
"Josh Bellamy","CHI","8.9","133.0","0.7","0.4","2.3","0.0","0.1","26.5"
"Amara Darboh","SEA","10.2","118.4","0.7","0.0","0.0","0.0","0.1","25.9"
"Kamar Aiken","PHI","9.0","114.0","0.8","0.0","0.0","0.0","0.0","25.2"
"Jordan Taylor","DEN","7.7","134.7","0.7","0.0","0.0","0.0","0.2","25.1"
"Kendrick Bourne","SF","6.6","151.3","0.5","0.0","0.0","0.0","0.2","24.5"
"Equanimeous St. Brown","GB","5.5","126.8","0.7","0.0","0.0","0.0","0.2","22.1"
"Auden Tate","CIN","4.0","127.8","0.8","0.0","0.0","0.0","0.2","21.3"
"Hunter Sharp","NYG","6.0","97.6","1.0","0.1","-0.1","0.0","0.2","21.2"
"Jordan Lasley","BAL","8.5","96.0","0.5","0.0","0.0","0.0","0.0","21.1"
"Jarius Wright","CAR","5.5","116.4","0.7","0.0","0.0","0.0","0.1","20.8"
"Paul Turner","NE","7.7","92.8","0.6","0.0","0.0","0.0","0.0","20.7"
"Dylan Cantrell","LAC","4.0","120.4","0.8","0.0","0.0","0.0","0.1","20.6"
"Brandon Reilly","BUF","4.0","122.3","0.8","0.0","0.0","0.0","0.1","20.5"
"Damiere Byrd","CAR","7.2","98.8","0.6","0.0","0.0","0.0","0.1","20.2"
"Tavarres King","MIN","7.0","98.2","0.6","0.4","1.0","0.0","0.1","20.0"
"Darrius Heyward-Bey","PIT","7.0","100.9","0.4","0.6","3.6","0.0","0.1","19.9"
"Michael Campanaro","TEN","6.2","99.8","0.6","0.8","4.0","0.0","0.2","19.6"
"Travis Rudolph","NYG","7.7","95.9","0.4","0.0","0.0","0.0","0.1","19.5"
"Michael Floyd","NO","7.1","76.8","0.6","0.0","0.0","0.0","0.1","18.1"
"Kasen Williams","IND","8.0","89.0","0.2","0.0","0.0","0.0","0.1","17.9"
"Reggie Davis","ATL","4.0","100.3","0.6","0.0","0.0","0.0","0.1","17.6"
"Rod Streater","BUF","6.5","83.8","0.4","0.0","0.0","0.0","0.0","17.5"
"Cody Core","CIN","8.4","86.6","0.1","0.0","0.0","0.0","0.1","17.5"
"Bobo Wilson","TB","6.2","82.9","0.5","0.2","0.1","0.0","0.0","17.4"
"Pharoh Cooper","LAR","8.4","80.7","0.2","0.3","4.4","0.0","0.7","17.1"
"Sammie Coates","HOU","4.8","92.5","0.5","0.1","0.8","0.0","0.1","16.9"
"Isaiah McKenzie","DEN","5.5","91.6","0.5","0.6","1.7","0.0","0.6","16.7"
"Leonte Carroo","MIA","7.1","82.8","0.2","0.0","0.0","0.0","0.1","16.2"
"James Wright","IND","6.2","74.0","0.4","0.0","0.0","0.0","0.0","16.0"
"Josh Malone","CIN","4.7","85.4","0.5","0.5","1.8","0.0","0.2","16.0"
"Johnny Holton","OAK","5.4","83.9","0.6","0.0","0.4","0.0","0.7","15.8"
"Darius Jennings","TEN","5.9","71.0","0.5","0.0","0.0","0.0","0.0","15.7"
"DeAndre Smelter","JAC","5.6","72.3","0.5","0.0","0.0","0.0","0.0","15.6"
