"Rank","Player","Team","Bye","POS","ESPN","MFL","FFC","RTSports","Fantrax","DW","AVG"
"390","Adam Humphries","TB","5","WR132","","354","","348","305","","335.7"
"391","DeShone Kizer","GB","7","QB50","","329","","346","","","337.5"
"392","Marquez Valdes-Scantling","GB","7","WR133","","338","","","","","338.0"
"393","Buffalo Bills","DST","11","DST28","","","","339","","","339.0"
"394","Mike Davis","WR134","","","","340","","","340.0"
"395","Seth DeValve","CLE","11","TE55","","","","341","","","341.0"
"396","Jordan Lasley","BAL","10","WR135","","341","","","","","341.0"
"397","Brandon LaFell","CIN","9","WR136","","374","","349","303","","342.0"
"398","Washington Redskins","DST","4","DST29","","","","342","","","342.0"
"399","Terrance West","NO","6","RB106","","342","","","","","342.0"
"400","Akrum Wadley","TEN","8","RB107","","344","","","","","344.0"
"401","Jalen Richard","OAK","7","RB108","","377","","345","312","","344.7"
"402","Richie James","SF","11","WR137","","345","","","","","345.0"
"403","Nathan Peterman","BUF","11","QB51","","346","","","","","346.0"
"404","Trey Edmunds","NO","6","RB109","","350","","","","","350.0"
"405","Carlos Henderson","DEN","10","WR138","","352","","","","","352.0"
"406","Ryan Switzer","OAK","7","WR139","","353","","","","","353.0"
"407","Thomas Rawls","NYJ","11","RB110","","355","","","","","355.0"
"408","Geoff Swaim","DAL","8","TE56","","356","","","","","356.0"
"409","Braedon Bowman","LAC","8","TE57","","358","","","","","358.0"
"410","Kendrick Bourne","SF","11","WR140","","359","","","","","359.0"
"411","Jaleel Scott","BAL","10","WR141","","362","","","","","362.0"
"412","Chris Herndon IV","NYJ","11","TE58","","363","","","","","363.0"
"413","Josh Reynolds","LAR","12","WR142","","365","","","","","365.0"
"414","Chad Hansen","NYJ","11","WR143","","369","","","","","369.0"
"415","Roc Thomas","MIN","10","RB111","","370","","","","","370.0"
"416","Jeremy McNichols","SF","11","RB112","","371","","","","","371.0"
"417","Paxton Lynch","DEN","10","QB52","","372","","","","","372.0"
"418","Chris Conley","KC","12","WR144","","373","","","","","373.0"
"419","Danny Etling","NE","11","QB53","","375","","","","","375.0"
"420","Ryan Nall","CHI","5","RB113","","376","","","","","376.0"
"421","Noah Brown","DAL","8","WR145","","378","","","","","378.0"
"422","Jonathan Williams","NO","6","RB114","","379","","","","","379.0"
"423","Cedrick Wilson","DAL","8","WR146","","381","","","","","381.0"
"424","Troy Fumagalli","DEN","10","TE59","","382","","","","","382.0"
"425","Alfred Blue","HOU","10","RB115","","383","","","","","383.0"
"426","ArDarius Stewart","NYJ","11","WR147","","384","","","","","384.0"
"427","Malcolm Brown","LAR","12","RB116","","385","","","","","385.0"
"428","Josh Malone","CIN","9","WR148","","387","","","","","387.0"
"429","Dylan Cantrell","LAC","8","WR149","","388","","","","","388.0"
